3.8.0 (default, Nov 16 2019, 06:37:13) 
[Clang 11.0.0 (clang-1100.0.33.12)]
vmi-debian-10.3-amd64-100gb => dfcdf4c5-3c95-49a9-8901-9371534f58ab
vmi-debian-10.3-amd64 => 3c204601-594e-418b-a126-4d8fcbc35a5e
vmi-debian-10.3-amd64-30gb => d2a2837a-33e6-4918-9f13-e927442d0235
vmi-debian-10.3-amd64-20gb => 37cc93e6-c17a-4884-a931-b65839fd75b2
vmi-redmine-4.1.0-centos-7.7-amd64-100gb => ec6a1b4b-19e2-417e-b7a8-a7a122ad70f6
vmi-redmine-4.1.0-centos-7.7-amd64 => 0afbe53b-ec0a-4905-9846-56d963d5e825
vmi-redmine-4.1.0-centos-7.7-amd64-30gb => 9719a084-c139-4133-901d-2e754c816bf3
vmi-redmine-4.1.0-centos-7.7-amd64-20gb => e9a8ee29-5ae4-415a-b03e-a5569e961497
vmi-lamp-latest-centos-7.7-amd64-100gb => 7c8ac5c1-acaa-4dc5-b0d6-ac1a17884460
vmi-lamp-latest-centos-7.7-amd64 => 84eff5b5-7c0d-4922-be2d-32394cb96307
vmi-lamp-latest-centos-7.7-amd64-30gb => ff23d5cd-685e-4e47-bfc5-e60f6ae63b96
vmi-lamp-latest-centos-7.7-amd64-20gb => bada45f9-b50e-405a-ac52-ec35dc5777fa
vmi-ubuntu-18.04-amd64-100gb => 3424c2fd-6383-4208-9ca8-25e3b6f9079f
vmi-ubuntu-18.04-amd64 => 26a95f1d-8314-4662-a51d-26587303ddaa
vmi-ubuntu-18.04-amd64-30gb => f572f648-6c51-4dcc-992e-61af2e1fc9b9
vmi-ubuntu-18.04-amd64-20gb => 39528ab4-3330-49ee-b850-9b234e94dbf6
vmi-centos-8.1-amd64-100gb => 4ec8a96e-7bdf-486a-8a79-1f83e56a5287
vmi-centos-8.1-amd64 => 47ea2691-4ba5-4f8e-b0e0-095b9d2f0a0a
vmi-centos-8.1-amd64-30gb => 0a940449-ecf1-492e-8497-08438c5bb493
vmi-centos-8.1-amd64-20gb => 1106537a-57c9-46a6-a310-5a25dfde77a6
vmi-openbsd-6.6-amd64-30gb => 1a104639-5008-4008-94fa-92f0913568ce
vmi-openbsd-6.6-amd64-100gb => 07661865-bde7-4ee3-bbb5-59924a59d5d4
vmi-netbsd-8.1-amd64-30gb => 39910ae1-9856-4601-9039-41a033e0a08f
vmi-netbsd-8.1-amd64-100gb => 01ec5c1e-3ffa-43ab-9433-8656ca69980f
vmi-minecraft-1.15.2-centos-7.7-amd64-100gb => ba0834f2-46ea-46b2-a369-64a39d4b0cff
vmi-centos-7.3-amd64-unified-100gb => 88fa2c93-e2a8-4c06-9c72-804373960d58
vmi-centos-7.3-amd64-unified-30gb => 6e4a16ab-8ac8-4371-8a91-2b56d6553886
vmi-zbx-3.0-centos-7.3-100gb => 651b0d61-bd45-40f5-b7a9-077bffe25e40
